"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",55.611586,-4.39797,NA,"Eretmochelys imbricata"
"gbif",34.840326,25.229845,NA,"Eretmochelys imbricata"
"gbif",127.224411,26.38156,NA,"Eretmochelys imbricata"
"gbif",-106.548257,23.387232,NA,"Eretmochelys imbricata"
"gbif",127.297341,26.311859,NA,"Eretmochelys imbricata"
"gbif",-155.805869,19.474129,NA,"Eretmochelys imbricata"
"gbif",120.937628,13.658857,NA,"Eretmochelys imbricata"
"gbif",120.983146,13.634175,NA,"Eretmochelys imbricata"
"gbif",120.972645,13.65642,NA,"Eretmochelys imbricata"
"gbif",120.933301,13.664159,NA,"Eretmochelys imbricata"
"gbif",165.0363,-20.513317,NA,"Eretmochelys imbricata"
"gbif",50.197986,26.784468,NA,"Eretmochelys imbricata"
"gbif",134.583,7.51498,10,"Eretmochelys imbricata"
"gbif",95.2522,5.89808,15.295,"Eretmochelys imbricata"
"gbif",-86.946711,20.564798,NA,"Eretmochelys imbricata"
"gbif",130.482543,-2.194357,NA,"Eretmochelys imbricata"
"gbif",153.531366,-28.097799,NA,"Eretmochelys imbricata"
"gbif",130.329157,-0.454694,NA,"Eretmochelys imbricata"
"gbif",130.225142,-0.570904,NA,"Eretmochelys imbricata"
"gbif",130.476333,-2.206682,NA,"Eretmochelys imbricata"
"gbif",-88.847646,21.286537,NA,"Eretmochelys imbricata"
"gbif",153.6,-28.2,NA,"Eretmochelys imbricata"
"gbif",130.533729,-12.63117,NA,"Eretmochelys imbricata"
"gbif",129.127734,-10.818871,NA,"Eretmochelys imbricata"
"gbif",130.435579,-12.602,NA,"Eretmochelys imbricata"
"gbif",130.86573,-12.57389,NA,"Eretmochelys imbricata"
"gbif",130.889649,-12.59048,NA,"Eretmochelys imbricata"
"gbif",130.835169,-12.429152,NA,"Eretmochelys imbricata"
"gbif",136.873024,-13.865437,NA,"Eretmochelys imbricata"
"gbif",130.539092,-12.636512,NA,"Eretmochelys imbricata"
"gbif",130.891029,-12.333683,NA,"Eretmochelys imbricata"
"gbif",130.8273,-12.4242,NA,"Eretmochelys imbricata"
"gbif",130.519839,-12.69349,NA,"Eretmochelys imbricata"
"gbif",132.582614,-11.1725,NA,"Eretmochelys imbricata"
"gbif",130.5808,-12.70886,NA,"Eretmochelys imbricata"
"gbif",130.815875,-12.451988,NA,"Eretmochelys imbricata"
"gbif",130.81035,-12.40784,NA,"Eretmochelys imbricata"
"gbif",136.4163,-13.8519,NA,"Eretmochelys imbricata"
"gbif",130.562819,-12.6893,NA,"Eretmochelys imbricata"
"gbif",130.81941,-12.42012,NA,"Eretmochelys imbricata"
"gbif",130.77403,-12.412819,NA,"Eretmochelys imbricata"
"gbif",130.839959,-12.546577,NA,"Eretmochelys imbricata"
"gbif",131.613333,-9.660833,NA,"Eretmochelys imbricata"
"gbif",130.332169,-12.52762,NA,"Eretmochelys imbricata"
"gbif",130.54118,-12.63855,NA,"Eretmochelys imbricata"
"gbif",130.874149,-12.55529,NA,"Eretmochelys imbricata"
"gbif",130.8325,-12.441913,NA,"Eretmochelys imbricata"
"gbif",130.42424,-12.536922,NA,"Eretmochelys imbricata"
"gbif",130.85504,-12.56378,NA,"Eretmochelys imbricata"
"gbif",130.57266,-12.51322,NA,"Eretmochelys imbricata"
"gbif",132.52824,-11.044488,NA,"Eretmochelys imbricata"
"gbif",130.88289,-12.58753,NA,"Eretmochelys imbricata"
"gbif",136.790771,-13.917406,NA,"Eretmochelys imbricata"
"gbif",130.817067,-12.461183,NA,"Eretmochelys imbricata"
"gbif",136.85272,-12.44371,NA,"Eretmochelys imbricata"
"gbif",130.81807,-12.468772,NA,"Eretmochelys imbricata"
"gbif",136.34302,-14.23096,NA,"Eretmochelys imbricata"
"gbif",130.928316,-12.411429,NA,"Eretmochelys imbricata"
"gbif",130.418081,-12.538757,NA,"Eretmochelys imbricata"
"gbif",130.85358,-12.4587,NA,"Eretmochelys imbricata"
"gbif",133.351499,-10.874333,NA,"Eretmochelys imbricata"
"gbif",130.793399,-12.4829,NA,"Eretmochelys imbricata"
"gbif",130.8432,-12.53,NA,"Eretmochelys imbricata"
"gbif",132.591833,-11.171667,NA,"Eretmochelys imbricata"
"gbif",130.636336,-12.699225,NA,"Eretmochelys imbricata"
"gbif",130.571409,-12.69174,NA,"Eretmochelys imbricata"
"gbif",136.751631,-11.009182,NA,"Eretmochelys imbricata"
"gbif",136.3475,-14.226944,NA,"Eretmochelys imbricata"
"gbif",130.795966,-12.413266,NA,"Eretmochelys imbricata"
"gbif",130.86249,-12.57063,NA,"Eretmochelys imbricata"
"gbif",130.809123,-12.404806,NA,"Eretmochelys imbricata"
"gbif",136.857742,-13.899327,NA,"Eretmochelys imbricata"
"gbif",129.673666,-9.838166,NA,"Eretmochelys imbricata"
"gbif",130.536948,-12.625501,NA,"Eretmochelys imbricata"
"gbif",136.3378,-14.23469,NA,"Eretmochelys imbricata"
"gbif",130.8753,-12.57138,NA,"Eretmochelys imbricata"
"gbif",130.93306,-12.6086,NA,"Eretmochelys imbricata"
"gbif",130.876309,-12.58237,NA,"Eretmochelys imbricata"
"gbif",130.85018,-12.565117,NA,"Eretmochelys imbricata"
"gbif",130.649377,-2.172132,NA,"Eretmochelys imbricata"
"gbif",118.640711,4.211593,NA,"Eretmochelys imbricata"
"gbif",151.49576,-33.34505,NA,"Eretmochelys imbricata"
"gbif",150.94145,-34.28791,NA,"Eretmochelys imbricata"
"gbif",150.33287,-35.59943,NA,"Eretmochelys imbricata"
"gbif",153.19112,-30.05297,NA,"Eretmochelys imbricata"
"gbif",151.28866,-33.71565,NA,"Eretmochelys imbricata"
"gbif",120.856101,13.679924,NA,"Eretmochelys imbricata"
"gbif",120.950213,13.62424,NA,"Eretmochelys imbricata"
"gbif",120.90318,13.698543,NA,"Eretmochelys imbricata"
"gbif",-61.21764,14.78562,37,"Eretmochelys imbricata"
"gbif",-61.22403,14.83967,17,"Eretmochelys imbricata"
"gbif",-61.21461,14.78133,22,"Eretmochelys imbricata"
"gbif",120.845141,13.704709,NA,"Eretmochelys imbricata"
"gbif",-81.002104,-2.194895,NA,"Eretmochelys imbricata"
"gbif",-80.995773,-2.201951,NA,"Eretmochelys imbricata"
"gbif",130.394519,-0.582764,NA,"Eretmochelys imbricata"
"gbif",124.786813,1.66566,NA,"Eretmochelys imbricata"
"gbif",124.606686,1.717016,NA,"Eretmochelys imbricata"
"gbif",-83.33428,8.556838,NA,"Eretmochelys imbricata"
"gbif",-86.606221,16.207403,NA,"Eretmochelys imbricata"
"gbif",153.020641,-30.842417,NA,"Eretmochelys imbricata"
"gbif",123.62353,9.590397,NA,"Eretmochelys imbricata"
"gbif",151.42614,-33.4435,NA,"Eretmochelys imbricata"
"gbif",153.021108,-30.515534,NA,"Eretmochelys imbricata"
"gbif",-87.088832,20.553285,NA,"Eretmochelys imbricata"
"gbif",-61.0398,14.44453,21,"Eretmochelys imbricata"
"gbif",-60.93091,14.45491,26,"Eretmochelys imbricata"
"gbif",-80.967815,-1.728206,NA,"Eretmochelys imbricata"
"gbif",120.888804,13.68127,NA,"Eretmochelys imbricata"
"gbif",120.971601,13.621209,NA,"Eretmochelys imbricata"
"gbif",120.963917,13.758475,NA,"Eretmochelys imbricata"
"gbif",120.835852,13.750586,NA,"Eretmochelys imbricata"
"gbif",120.800094,13.698874,NA,"Eretmochelys imbricata"
"gbif",153.093117,-30.959249,NA,"Eretmochelys imbricata"
"gbif",153.146595,-30.911056,NA,"Eretmochelys imbricata"
"gbif",115.464645,-8.644812,NA,"Eretmochelys imbricata"
"gbif",115.465639,-8.694224,NA,"Eretmochelys imbricata"
"gbif",120.885275,13.732692,NA,"Eretmochelys imbricata"
"gbif",-107.5,21.5,NA,"Eretmochelys imbricata"
"gbif",125.375394,1.473341,NA,"Eretmochelys imbricata"
"gbif",-149.982862,-17.540399,NA,"Eretmochelys imbricata"
"gbif",123.267,9.07908,10.075,"Eretmochelys imbricata"
"gbif",100.014433,-0.816226,NA,"Eretmochelys imbricata"
"gbif",153.728871,-28.63642,NA,"Eretmochelys imbricata"
"gbif",39.347667,-4.797389,NA,"Eretmochelys imbricata"
"gbif",39.265482,-4.645747,NA,"Eretmochelys imbricata"
"gbif",39.344762,-4.652401,NA,"Eretmochelys imbricata"
"gbif",-87.885992,17.863116,NA,"Eretmochelys imbricata"
"gbif",-109.586554,23.517435,NA,"Eretmochelys imbricata"
"gbif",-63.316486,17.670313,NA,"Eretmochelys imbricata"
"gbif",-81.316118,7.372469,NA,"Eretmochelys imbricata"
"gbif",-63.331355,17.619913,NA,"Eretmochelys imbricata"
"gbif",-81.730328,7.763588,NA,"Eretmochelys imbricata"
"gbif",39.314681,-4.67971,NA,"Eretmochelys imbricata"
"gbif",-64.816508,18.258868,NA,"Eretmochelys imbricata"
"gbif",130.719754,-0.593306,NA,"Eretmochelys imbricata"
"gbif",130.743384,-0.556104,NA,"Eretmochelys imbricata"
"gbif",130.756421,-0.47187,NA,"Eretmochelys imbricata"
"gbif",-87.035557,20.283755,NA,"Eretmochelys imbricata"
"gbif",152.44445,-31.88946,NA,"Eretmochelys imbricata"
"gbif",73.290953,3.269973,NA,"Eretmochelys imbricata"
"gbif",-74.445039,24.041176,NA,"Eretmochelys imbricata"
"gbif",123.627538,-5.598488,NA,"Eretmochelys imbricata"
"gbif",99.83046,10.06148,NA,"Eretmochelys imbricata"
"gbif",34.94331,24.817639,NA,"Eretmochelys imbricata"
"gbif",120.924767,13.7272,NA,"Eretmochelys imbricata"
"gbif",120.841475,13.774123,NA,"Eretmochelys imbricata"
"gbif",120.863834,13.671566,NA,"Eretmochelys imbricata"
"gbif",120.928298,13.623907,NA,"Eretmochelys imbricata"
"gbif",120.829766,13.689398,NA,"Eretmochelys imbricata"
"gbif",-69.790592,20.772347,NA,"Eretmochelys imbricata"
"gbif",-80.969944,-2.205615,NA,"Eretmochelys imbricata"
"gbif",-80.997842,-2.198939,NA,"Eretmochelys imbricata"
"gbif",-105.5,19.5,NA,"Eretmochelys imbricata"
"gbif",124.029807,11.320085,NA,"Eretmochelys imbricata"
"gbif",151.703193,-33.140457,NA,"Eretmochelys imbricata"
"gbif",-87.31997,20.319179,NA,"Eretmochelys imbricata"
"gbif",157.816079,-8.710801,NA,"Eretmochelys imbricata"
"gbif",166.679248,-20.585509,NA,"Eretmochelys imbricata"
"gbif",-156.613764,20.813911,NA,"Eretmochelys imbricata"
"gbif",118.629,4.12016,14.5,"Eretmochelys imbricata"
"gbif",55.865665,-4.290255,NA,"Eretmochelys imbricata"
"gbif",35.08633,24.721963,NA,"Eretmochelys imbricata"
"gbif",-62.988281,17.481896,NA,"Eretmochelys imbricata"
"gbif",136.72245,-12.2225,NA,"Eretmochelys imbricata"
"gbif",136.934301,-12.333812,NA,"Eretmochelys imbricata"
"gbif",-44.25159,-23.110207,NA,"Eretmochelys imbricata"
"gbif",-61.78349,16.17376,20,"Eretmochelys imbricata"
"gbif",120.805708,13.694917,NA,"Eretmochelys imbricata"
"gbif",134.337504,7.286114,NA,"Eretmochelys imbricata"
"gbif",48.238548,-13.483835,NA,"Eretmochelys imbricata"
"gbif",-83.859862,8.697138,NA,"Eretmochelys imbricata"
"gbif",-83.984693,8.696874,NA,"Eretmochelys imbricata"
"gbif",73.151093,-0.693495,NA,"Eretmochelys imbricata"
"gbif",104.046912,2.813991,NA,"Eretmochelys imbricata"
"gbif",-83.974198,8.763196,NA,"Eretmochelys imbricata"
"gbif",177.269203,-17.793664,NA,"Eretmochelys imbricata"
"gbif",177.296808,-17.663165,NA,"Eretmochelys imbricata"
"gbif",72.862769,3.571609,NA,"Eretmochelys imbricata"
"gbif",72.872093,3.888124,NA,"Eretmochelys imbricata"
"gbif",73.423648,3.614092,NA,"Eretmochelys imbricata"
"gbif",73.32942,4.58943,NA,"Eretmochelys imbricata"
"gbif",72.804955,3.984124,NA,"Eretmochelys imbricata"
"gbif",120.971486,13.769838,NA,"Eretmochelys imbricata"
"gbif",-87.815177,17.841271,NA,"Eretmochelys imbricata"
"gbif",72.707466,3.633134,NA,"Eretmochelys imbricata"
"gbif",33.926174,27.32666,NA,"Eretmochelys imbricata"
"gbif",-86.802808,20.977016,NA,"Eretmochelys imbricata"
"gbif",-61.0816,13.8644,13,"Eretmochelys imbricata"
"gbif",-67.27367,18.16304,11,"Eretmochelys imbricata"
